row,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
0,935,1,3,1,6,5,10,7,10,2
1,5,1107,6,0,3,0,6,6,2,0
2,12,0,973,4,3,5,7,19,8,1
3,4,0,24,896,2,34,2,19,27,2
4,5,2,5,0,919,0,12,10,6,23
5,7,0,5,16,2,812,10,3,28,9
6,25,4,2,0,14,9,892,0,10,2
7,2,8,21,4,3,1,1,970,4,14
8,16,0,8,3,7,6,8,23,888,15
9,12,10,6,5,27,8,3,37,27,874
