row,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
0,956,1,7,0,2,3,0,5,4,2
1,4,1122,2,1,0,3,1,2,0,0
2,4,2,995,7,1,4,2,11,4,2
3,0,0,13,970,1,6,0,12,4,4
4,2,4,3,0,941,0,3,5,6,18
5,5,0,5,19,1,843,2,1,11,5
6,19,7,4,0,16,14,889,0,8,1
7,1,4,19,3,1,3,0,980,1,16
8,10,4,6,10,8,11,4,12,894,15
9,8,4,8,5,15,10,0,15,7,937
