row,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
0,956,0,1,0,1,3,7,3,7,2
1,3,1115,3,1,1,2,2,3,5,0
2,5,0,971,18,1,5,5,11,15,1
3,0,0,7,959,0,28,0,7,8,1
4,1,1,1,0,951,0,9,4,4,11
5,2,0,0,10,1,867,4,1,7,0
6,7,2,0,0,1,12,932,0,4,0
7,1,4,12,4,0,4,0,988,3,12
8,5,1,3,6,2,14,6,11,919,7
9,9,5,2,9,20,17,0,21,16,910
