model_name,architecture,num_trainable_parameters,batch_size,learning_rate,epochs,optimizer,final_train_accuracy,final_validation_accuracy,final_test_accuracy
mlp-clean,784-256-10 with ReLU,203530,256,0.05,30,sgd,0.96978,0.9601,0.964
cnn-clean,"Conv(1,8,3)-ReLU-Pool-Conv(8,16,3)-ReLU-Pool-FC(784,128)-ReLU-FC(128,10)",103018,256,0.01,30,sgd,0.9823,0.9757,0.9799
